skills,modules
Software Engineering,Programming Fundamentals
Computer Programming,"Writing, Running, and Fixing Code in C"
Computer Programming,"Writing, Running, and Fixing Code in C"
Computer Programming,"Writing, Running, and Fixing Code in C"
Computer Programming,"Writing, Running, and Fixing Code in C"
Algorithms,"Pointers, Arrays, and Recursion"
Algorithms,"Pointers, Arrays, and Recursion"
Algorithms,"Pointers, Arrays, and Recursion"
Algorithms,"Pointers, Arrays, and Recursion"
Problem Solving,Interacting with the System and Managing Memory
Problem Solving,Interacting with the System and Managing Memory
Problem Solving,Interacting with the System and Managing Memory
Problem Solving,Interacting with the System and Managing Memory
C Programming,
Debugging,
Software Development Process,
Software Design,
Django (Web Framework),Introduction to Back-End Development
Django (Web Framework),Introduction to Back-End Development
Django (Web Framework),Introduction to Back-End Development
Django (Web Framework),Introduction to Back-End Development
API endpoints,Programming in Python
API endpoints,Programming in Python
API endpoints,Programming in Python
API endpoints,Programming in Python
API endpoints,Programming in Python
MySQL,Version Control
MySQL,Version Control
MySQL,Version Control
MySQL,Version Control
HTML,Introduction to Databases for Back-End Development
HTML,Introduction to Databases for Back-End Development
HTML,Introduction to Databases for Back-End Development
HTML,Introduction to Databases for Back-End Development
HTML,Introduction to Databases for Back-End Development
Production environments,Django Web Framework 
Production environments,Django Web Framework 
Production environments,Django Web Framework 
Production environments,Django Web Framework 
Production environments,Django Web Framework 
JavaScript,APIs
JavaScript,APIs
JavaScript,APIs
JavaScript,APIs
